,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
326,"Vice President, Data Scientist - GenAI Research",$124K - $262K (Employer est.),"And we provide institutions and independent advisors with investment and technology solutions to help invest their own clients’ money.…
Skills: TensorFlow, Computer science, Software deployment, DevOps, Data structures",4.2,Fidelity Investments,"Boston, MA",10000+ Employees,1946,Company - Private,Investment & Asset Management,Financial Services,$10+ billion (USD),0,0,124,262,193.0,Boston,74,0,0,0,0,0,data scientist,na,218
327,"Associate, Optimization and Machine Learning",$82K - $143K (Glassdoor est.),"Advanced degree (master’s or Ph.D.) in operations research, machine learning, data science, or a similar quantitative field.…
Skills: English, Research, OOP, C++, Machine learning",4.1,Simcorp,"Atlanta, GA",1001 to 5000 Employees,1971,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,0,82,143,112.5,Atlanta,49,0,0,0,0,0,mle,na,179
328,"Applied Deep Learning Research Scientist, Sparsity",$160K - $288K (Employer est.),"MS or PhD degree in computer science, computer engineering, electrical engineering or related field or equivalent experience.…
Skills: Computer science, Analysis skills, C++, Machine learning, Computer networking",4.6,NVIDIA,"Santa Clara, CA",10000+ Employees,1993,Company - Public,Computer Hardware Development,Information Technology,$5 to $10 billion (USD),0,0,160,288,224.0,Santa Clara,27,0,0,0,0,0,na,na,212
329,"Sr. Applied Scientist , AFT AI, Amazon Fulfillment Technologies (AFT)",$150K - $260K (Employer est.),"In this role, you will dive deep into our fulfillment network, understand complex processes, and channel your insights to build large-scale machine learning……
Skills: Research, Java, C++, Machine learning, Natural language processing",3.7,Amazon.com Services LLC,"Bellevue, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,0,150,260,205.0,Bellevue,26,0,0,0,0,0,na,senior,233
330,Applied Scientist: Physics-informed ML,$166K - $200K (Employer est.),"On a typical day, you may: design and implement algorithms for extracting material property information from ultrasonic signals; research and build simulations……
Skills: Research, C++, Math, C, Machine learning",4.8,Liminal Insights Inc.,"Emeryville, CA",1 to 50 Employees,2016,Company - Private,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,166,200,183.0,Emeryville,4,0,0,0,0,0,na,na,210
331,Principal Applied AI Engineer,$138K - $294K (Employer est.),"Bachelor's Degree in Statistics, Econometrics, Computer Science, Electrical or Computer Engineering, or related field AND 6+ years related experience (e.g.,……
Skills: Statistics, Power BI, Software deployment, C#, Research",4.2,Microsoft,"San Francisco, CA",-1,-1,-1,-1,-1,-1,0,0,138,294,216.0,San Francisco,-1,0,0,0,0,0,na,senior,222
332,"Senior Data Scientist, Product Analytics and Experimentation",$140K - $188K (Employer est.),"As a member of this cross-functional group, you will collaborate with partners in product, machine learning data science, and engineering by providing analysis……
Skills: R, Tableau, SQL, Machine learning, Data science",3.6,Fox Corporation,"Los Angeles, CA",5001 to 10000 Employees,2019,Company - Public,Broadcast Media,Media & Communication,Unknown / Non-Applicable,0,0,140,188,164.0,Los Angeles,1,0,0,0,0,0,data scientist,senior,217
333,"Applied Scientist II, AFT AI, Amazon Fulfillment Technologies (AFT)",$136K - $222K (Employer est.),"In this role, you will dive deep into our fulfillment network, understand complex processes and channel your insights to build large scale deep learning and……
Skills: Java, C++, Machine learning, Software development, AI",3.7,Amazon.com Services LLC,"Bellevue, WA",10000+ Employees,1994,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,0,136,222,179.0,Bellevue,26,0,0,0,0,0,na,na,220
334,Principal Applied Scientist,$159K - $304K (Employer est.),"They will play a key role in driving algorithmic improvements to online and offline systems, develop and deliver robust and scalable solutions, make direct……
Skills: Search engines, Statistics, Data mining, Data analysis skills, Research",4.2,Microsoft,"Mountain View, CA",10000+ Employees,1975,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,0,159,304,231.5,Mountain View,45,0,0,0,0,0,na,senior,237
335,Staff Data Scientist - Risk,$21K - $312K (Employer est.),"A bachelor degree in statistics, data science, or similar STEM field with 12+ years of experience in a relevant role OR. Paid parental and caregiving leave.…
Skills: Statistics, R, Data analysis skills, Tableau, SQL",3.8,Afterpay,"San Francisco, CA",1001 to 5000 Employees,2014,Company - Public,Internet & Web Services,Information Technology,$5 to $25 million (USD),0,0,21,312,166.5,San Francisco,6,0,0,0,0,0,data scientist,na,215
