,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,age,python_yn,R_yn,spark,aws,excel,job_simp,seniority,desc_len
0,Data Scientist,$80K - $123K (Glassdoor est.),"Import and analysis of data to estimate targets associated with disability, mortality, and longevity (and their drivers).…
Skills: R, English, Survival analysis, SQL, Statistical analysis",3.2,PartnerRe,"Charlotte, NC",1001 to 5000 Employees,--,Company - Public,Insurance Carriers,Insurance,Unknown / Non-Applicable,0,0,80,123,101.5,Charlotte,-1,0,0,0,0,0,data scientist,na,187
1,Data Scientist I,$80K - $92K (Employer est.),"Expert knowledge of core data science concepts and tools. Applicants are considered for positions without regard to veteran status, uniformed service member……",2.7,Vibrant Emotional Health,Remote,201 to 500 Employees,--,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,$5 to $25 million (USD),0,0,80,92,86.0,Remote,-1,0,0,0,0,0,data scientist,na,158
2,Data Scientist,$110K - $140K (Employer est.),"Utilize machine learning tools to find patterns and subsequently develop prediction tools to be employed. Directly support the Product team through steering……
Skills: Power BI, SQL, Machine learning, UX, UI",3.6,BrandSafway,"Atlanta, GA",10000+ Employees,2017,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,0,110,140,125.0,Atlanta,3,0,0,0,0,0,data scientist,na,206
3,Data Scientist 1,$82K - $127K (Glassdoor est.),"The Data Sciences & Machine Intelligence group in the Advanced Computing, Mathematics, and Data Division at PNNL seeks a multifaceted Data Scientist to join the……
Skills: CI/CD, Data modeling, Node.js, CSS, React",4.2,Pacific Northwest National Laboratory,"Richland, WA",5001 to 10000 Employees,1965,Company - Private,Energy & Utilities,"Energy, Mining & Utilities",$1 to $5 billion (USD),0,0,82,127,104.5,Richland,55,0,0,0,0,0,data scientist,na,212
4,Data Scientist,$60.00 - $70.00 Per Hour (Employer est.),"Provide SME guidance for data science teams on software engineering principles, model deployments, platform capabilities. Big data: 5 years (Required).…
Skills: Azure, Big data, DevOps, Google Cloud Platform, Machine learning",-1.0,Ideal Source Inc,"Charlotte, NC",-1,-1,-1,-1,-1,-1,1,0,120,140,65.0,Charlotte,-1,0,0,0,0,0,data scientist,na,225
5,Data Scientist,$81K - $137K (Glassdoor est.),"Exhibits proficiency in business management and a proven record of applying innovative solutions, design thinking, disruptive innovation, process management……
Skills: Jira, Power BI, Data modeling, Microsoft Access, Data mining",4.9,AMSG,"Fort Eustis, VA",Unknown,2008,Company - Private,Information Technology Support Services,Information Technology,Unknown / Non-Applicable,0,0,81,137,109.0,Fort Eustis,12,0,0,0,0,0,data scientist,na,227
6,Data Scientist,$63K - $98K (Employer est.),"Bachelor's Degree in Computer Science, Mathematics, or appropriate field may be substituted for one (1) year of experience.…
Skills: Statistics, Computer science, Data structures, Analysis skills, Math",3.0,CTC Group,"Fort Meade, MD",Unknown,--,Company - Private,--,--,Unknown / Non-Applicable,0,0,63,98,80.5,Fort Meade,-1,0,0,0,0,0,data scientist,na,201
7,Data Scientist BAH2197,$91K - $134K (Glassdoor est.),"Demonstrated experience collaborating with sponsor staff, IT customers and other technical and non-technical staff and contractors at all levels.…
Skills: Data modeling, Cloud infrastructure, Tableau, Analysis skills, Agile",4.8,Sabree Software Services,"Chantilly, VA",1 to 50 Employees,--,Company - Private,--,--,Unknown / Non-Applicable,0,0,91,134,112.5,Chantilly,-1,0,0,0,0,0,data scientist,na,223
8,Data Scientist,$80.00 - $100.00 Per Hour (Employer est.),"A Bachelor's degree in Data Science, Statistics, Computer Science, Business Analytics, or a closely related field is required. Data science: 4 years (Required).…
Skills: Azure, R, Google Cloud Platform, SQL, Statistical analysis",4.5,Signify Technology,Florida,51 to 200 Employees,2016,Company - Private,HR Consulting,Human Resources & Staffing,$5 to $25 million (USD),1,0,160,200,90.0,Florida,4,0,0,0,0,0,data scientist,na,228
9,Financial Data Scientist,$47K - $76K (Glassdoor est.),"A bachelor’s degree in data science, data analytics, computer science, mathematics, statistics, econometrics, financial engineering, computer or electrical……
Skills: TensorFlow, Statistics, Management, Financial modeling, SAS",2.6,Amherst Holdings,"Costa, WV",1001 to 5000 Employees,1993,Company - Private,Investment & Asset Management,Financial Services,Unknown / Non-Applicable,0,0,47,76,61.5,Costa,27,0,0,0,0,0,data scientist,na,225
10,Data Scientist,$85K - $118K (Glassdoor est.),"Bachelor’s Degree in a relevant field (e.g., Data Science, Statistics, Computer Science, Mathematics, Geography, or other STEM field).…
Skills: R, Tableau, Analysis skills, Machine learning, Technical writing",4.4,Radiance Technologies,"Beavercreek, OH",501 to 1000 Employees,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,0,0,85,118,101.5,Beavercreek,21,0,0,0,0,0,data scientist,na,208
11,Data Scientist 2,$87K - $119K (Employer est.),"Makes decisions regarding own work methods, occasionally in ambiguous situations, and requires minimal direction and receives guidance where needed.…
Skills: Statistics, SAS, Analysis skills, Data analytics, Python",3.8,Humana,Remote,10000+ Employees,1961,Company - Public,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,0,87,119,103.0,Remote,59,1,0,0,0,0,data scientist,na,214
12,Data Scientist II (Analytics),$112K - $157K (Employer est.),"Communicate cross functionally (internally and externally) to design, implement, and enhance marketing products and campaigns.…
Skills: Search engines, Microsoft Excel, Data structures, E-commerce, SQL",3.8,Expedia Group,"Seattle, WA",10000+ Employees,1996,Company - Public,Internet & Web Services,Information Technology,$5 to $10 billion (USD),0,0,112,157,134.5,Seattle,24,0,0,0,0,1,data scientist,na,201
13,Data Scientist,$110K - $125K (Employer est.),"This position will play a critical role in interacting with engineering and clinical teams, healthcare payer executives, managers, and frontline staff users,……
Skills: TensorFlow, Spark, Laboratory experience, Java, SQL",3.6,Evolent Health,Remote,1001 to 5000 Employees,2011,Company - Public,Health Care Services & Hospitals,Healthcare,$25 to $100 million (USD),0,0,110,125,117.5,Remote,9,0,0,1,0,0,data scientist,na,219
14,Data Scientist,$163K (Employer est.),"Identify and gather data from a variety of sources; analyze data, build models; as well as process the data for analysis. HOURS: 40 hours per week.…
Skills: Oracle, XML, DB2, J2EE, Java",2.0,Oncorre,"Bridgewater, NJ",Unknown,--,Company - Private,Software Development,Information Technology,Unknown / Non-Applicable,0,0,163,163,163.0,Bridgewater,-1,0,0,0,0,0,data scientist,na,185
15,Senior Data Analyst,$130K - $145K (Employer est.),"You will scrub, validate, and develop databases of master data. You will develop and maintain company-wide KPIs and dashboards.…
Skills: Tableau, SQL, Data analytics, Data visualization, Python",2.6,Truepill,Remote,501 to 1000 Employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,130,145,137.5,Remote,4,1,0,0,0,0,analyst,senior,193
16,Data Scientist,$80K - $160K (Employer est.),"HS diploma or GED and 19+ years of experience in data science or computer science OR Bachelor’s degree and 12+ years of experience in computer science or……
Skills: Statistics, Computer science, MATLAB, Image processing, Azure",4.6,"C-Star Solutions, LLC","Springfield, VA",501 to 1000 Employees,2008,Unknown,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,80,160,120.0,Springfield,12,0,0,0,0,0,data scientist,na,225
17,Data Scientist,$75K - $118K (Glassdoor est.),"The Customer applies technical resources to accelerate the timely, reliable, and secure delivery of open source data, information, and insights.…
Skills: Lucene, Search engines, Ansible, DevOps, NoSQL",-1.0,J5 Consulting,"Reston, VA",Unknown,--,Company - Private,Insurance Agencies & Brokerages,Insurance,Unknown / Non-Applicable,0,0,75,118,96.5,Reston,-1,0,0,0,0,0,data scientist,na,200
18,Entry-level Data Scientist,$72K - $148K (Employer est.),"Bachelor’s Degree in Marine, Mechanical, or related engineering field. Provide engineering and physical insight into mechanical and marine systems for a data……
Skills: Signal processing, Data analysis skills, Analysis skills, Machine learning, Python",4.0,CACI,"Bethesda, MD",10000+ Employees,1962,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD),0,0,72,148,110.0,Bethesda,58,1,0,0,0,0,data scientist,na,250
19,Data Scientist,$110K - $200K (Employer est.),"3+ years of experience in working in the field of data analysis or 2+ years of experience in data science building ML models.…
Skills: TensorFlow, Software deployment, R, Data analysis skills, Databases",3.8,"Ingenio, LLC",Remote,201 to 500 Employees,2013,Company - Private,Internet & Web Services,Information Technology,$5 to $25 million (USD),0,0,110,200,155.0,Remote,7,0,0,0,0,0,data scientist,na,202
20,Senior Data Scientist - Economy,$140K - $170K (Employer est.),"We value diversity in our workplace and encourage all qualified applicants regardless of race, color, age, sex, religion, national origin, physical or mental……
Skills: Big data, Customer segmentation, Analysis skills, Data science",4.9,ProFocus,Oregon,51 to 200 Employees,2013,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,0,140,170,155.0,Oregon,7,0,0,0,0,0,data scientist,senior,230
21,"Senior Data Scientist, Analytics Hub Team",$160K - $190K (Employer est.),"We believe in the life-changing impact youth sports have on and off the field because they encourage leadership, teamwork, responsibility, and confidence……
Skills: TensorFlow, Relational databases, Software deployment, Spark, R",4.0,GameChanger,United States,51 to 200 Employees,2009,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,0,160,190,175.0,United States,11,0,0,1,0,0,data scientist,senior,227
22,Data Scientist,$89K - $118K (Employer est.),"You possess a strong drive to learn and excel in solving complex problems using data-driven tools and algorithms. Evidence of innovative problem-solving skills.…
Skills: TensorFlow, Statistics, Microsoft Excel, SQL, Machine learning",3.6,WEX Inc.,"Portland, ME",1001 to 5000 Employees,1983,Company - Public,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,0,89,118,103.5,Portland,37,0,0,0,0,1,data scientist,na,232
23,Data Scientist,$123K - $180K (Employer est.),"Knowledge of big data technologies and vaticinate methodologies. As a Data Scientist, you will be responsible for analyzing complex datasets to provide valuable……
Skills: Big data, Tableau, SQL, AWS, Redshift",-1.0,Hubcom,"Beverly Hills, CA",-1,-1,-1,-1,-1,-1,0,0,123,180,151.5,Beverly Hills,-1,0,0,0,1,0,data scientist,na,208
24,Associate Performance Data Scientist,$66K - $70K (Employer est.),"As needed, assist with developing and validating new algorithms, analysis tools, and predictive models. The associate develops tools to optimize performance……
Skills: Cloud infrastructure, R, HIPAA, SQL, AWS",2.7,United States Olympic & Paralympic Committee,Remote,501 to 1000 Employees,1894,Nonprofit Organization,Sports & Recreation,"Arts, Entertainment & Recreation",$100 to $500 million (USD),0,0,66,70,68.0,Remote,126,0,0,0,1,0,data scientist,na,207
25,"Data Scientist, Product Analytics (Early Career) - USDS",$114K - $178K (Employer est.),"Ability to conduct rigorous analysis and communicate conclusions to both technical and non-technical audiences. Experience with SQL, Python, or R.…
Skills: R, SQL, Analysis skills, Python",3.3,TikTok,"Mountain View, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,114,178,146.0,Mountain View,4,1,0,0,0,0,data scientist,na,187
26,Data Scientist,$94K - $130K (Glassdoor est.),"The candidate will develop data science models and AI/ML tools enabling proactive risk monitoring, pattern detection and predictive analytics.…
Skills: Machine learning, Natural language processing, Clinical trials, Regression analysis, Data science",4.0,"Daiichi Sankyo, Inc.","Basking Ridge, NJ",10000+ Employees,1899,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),0,0,94,130,112.0,Basking Ridge,121,0,0,0,0,0,data scientist,na,249
27,Data Scientist,$100K - $130K (Employer est.),"Excellent Communication: Excellent communication skills with the ability to communicate complex ideas effectively to both technical and non-technical……
Skills: Statistics, R, SQL, C, Communication skills",3.7,Flip Fit,"El Segundo, CA",201 to 500 Employees,2019,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,100,130,115.0,El Segundo,1,0,0,0,0,1,data scientist,na,203
28,DATA SCIENTIST,$86K - $124K (Glassdoor est.),"Certification Requirements - Epic Cognitive Computing, Alteryx & Python certification using internal training tools expected within 1 year of hire date as well……
Skills: Statistics, Microsoft Excel, Data mining, Spark, R",3.6,TriHealth,"Cincinnati, OH",10000+ Employees,1995,Company - Private,Health Care Services & Hospitals,Healthcare,$100 to $500 million (USD),0,0,86,124,105.0,Cincinnati,25,1,0,1,0,1,data scientist,na,220
29,Data Scientist,$85K - $125K (Glassdoor est.),"Explains analysis to technical and non-technical audiences of both internal and external customers, including senior leadership and physicians.…
Skills: Computer science, Microsoft Excel, Data mining, R, Data analysis skills",4.1,Blue Cross of Idaho,"Meridian, ID",1001 to 5000 Employees,1945,Company - Private,Insurance Carriers,Insurance,$1 to $5 billion (USD),0,0,85,125,105.0,Meridian,75,0,0,0,0,1,data scientist,na,224
30,"Data Scientist, 1+ Years of Experience",$97K - $145K (Employer est.),"1+ years of experience in quantitative analysis & data science or a related field. BS/BA degree in statistics, mathematics, economics, computer science,……
Skills: Data modeling, Data mining, Social media management, Big data, R",3.5,Snapchat,"Los Angeles, CA",5001 to 10000 Employees,2011,Company - Public,Computer Hardware Development,Information Technology,Unknown / Non-Applicable,0,0,97,145,121.0,Los Angeles,9,0,0,0,0,0,data scientist,na,227
31,Data Scientist (contract),$71.38 Per Hour (Employer est.),"This role will provide support for the manufacturing science and technology team supporting a new clinical/commercial manufacturing site.…
Skills: Tableau, Data management, Data entry, Manufacturing, FDA regulations",4.2,JnJ,"Raritan, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),1,0,142,142,71.0,Raritan,133,0,0,0,0,0,data scientist,na,215
32,Data Scientist,$77K - $128K (Glassdoor est.),"Problem-Solving, using data to help the company make decisions, finding patterns and solutions to improve our capabilities, and develop investment strategies.…
Skills: Power BI, Data mining, Big data, R, Tableau",4.0,Michelin,"Woodburn, IN",10000+ Employees,1889,Company - Public,Machinery Manufacturing,Manufacturing,$10+ billion (USD),0,0,77,128,102.5,Woodburn,131,0,0,0,0,0,data scientist,na,211
33,Associate Data Scientist,$39.47 - $66.80 Per Hour (Employer est.),"Bachelor's degree in a technical discipline such as Statistics, Mathematics, Bioinformatics, Computer Science, Engineering, Economics, or related field required……
Skills: Statistics, Management, R, SQL, Machine learning",3.3,UPMC,"Pittsburgh, PA",10000+ Employees,1982,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),1,0,78,132,52.5,Pittsburgh,38,0,0,0,0,0,data scientist,na,219
34,Behavioral Data Scientist,$96K - $169K (Employer est.),"Confer with system users, systems engineers, and mission partners to design, develop and deliver data analytic solutions. Minimum Clearance Required to Start:…
Skills: Data mining, Machine learning, Natural language processing, AI, SPSS",4.0,Parsons,"Springfield, VA",10000+ Employees,1944,Company - Public,Information Technology Support Services,Information Technology,$1 to $5 billion (USD),0,0,96,169,132.5,Springfield,76,0,0,0,0,0,data scientist,na,236
35,Data Scientist,$78K - $112K (Glassdoor est.),"Execute strategy and support applications of statistical analysis, Machine Learning, Computer vision, and AI tools to improve product development, manufacturing……
Skills: Jira, TensorFlow, CI/CD, Computer vision, DevOps",3.8,Magna International Inc.,"Troy, MI",10000+ Employees,1957,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$10+ billion (USD),0,0,78,112,95.0,Troy,63,0,0,0,0,0,data scientist,na,219
36,Senior Data Scientist,$105K - $125K (Employer est.),"Familiarity with data processing and management support tools, including MS Office, advanced Excel analysis, and business intelligence tools (e.g., Power BI,……
Skills: Computer science, Power BI, Microsoft Excel, Oracle, Management",3.6,Metropolitan Transportation Authority,"New York, NY",Unknown,--,Government,State & Regional Agencies,Government & Public Administration,Unknown / Non-Applicable,0,0,105,125,115.0,New York,-1,0,0,0,0,1,data scientist,senior,231
37,DATA SCIENCE: SAP Next Talent - Rotational Program (2024 Grads),$101K - $172K (Employer est.),"Hands-on experience with data structures, complexity analysis, and foundation models or LLMs. Knowledge in Python, R, SQL and data science methodologies.…
Skills: TensorFlow, Management, Data structures, R, ERP systems",4.2,SAP,"Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,0,101,172,136.5,Palo Alto,48,1,0,0,0,0,na,na,218
38,Data Scientist,$84K (Employer est.),"Work as part of a small team and alone on help desk taskings and ticketing data flows, report generation, and dashboard visualization of key performance……
Skills: Microsoft Access, Visual Basic, SAS, Microsoft SQL Server, Technical support",3.6,Chenega Corporation,Virginia,5001 to 10000 Employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$500 million to $1 billion (USD),0,0,84,84,84.0,Virginia,46,0,0,0,0,0,data scientist,na,239
39,Data Scientist - TikTok Live,$144K - $240K (Employer est.),"Research data science theories and methodology, improve analysis efficiency and data product tools. The primary role of a Data Scientist is to conduct deep……
Skills: Agency management, R, Data analysis skills, SQL, Analysis skills",3.3,TikTok,"San Jose, CA",10000+ Employees,2016,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,0,144,240,192.0,San Jose,4,0,0,0,0,0,data scientist,na,230
40,Data Scientist,$63K - $98K (Employer est.),"A. Degree: Mathematics, statistics, computer science, data science or field directly related to the position. Designs, develops and implements computational and……
Skills: R, Statistical analysis, Machine learning, Regression analysis, Data science",3.7,US Office of Personnel Management,Remote,1001 to 5000 Employees,1979,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,0,63,98,80.5,Remote,41,0,0,0,0,0,data scientist,na,247
41,Data Scientist,$104K - $167K (Employer est.),"Ph.D. with 2 years of experience, or M.S. with 5+ years, B.S. with 7+ years of relevant pharma sales & marketing experience, with degree in Computer Sciences,……
Skills: Data mining, Vendor management, Sales, R, Data analysis skills",4.2,Johnson & Johnson,"Titusville, NJ",10000+ Employees,1887,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$10+ billion (USD),0,0,104,167,135.5,Titusville,133,0,0,0,0,0,data scientist,na,231
42,Data Scientist,$93K - $138K (Glassdoor est.),"Possess a bachelor’s or master’s degree in a quantitative field such as Computer Science, Economics, or Physics.…
Skills: Spark, R, Apache Hive, E-commerce, Customer segmentation",3.5,Global Partners,"Waltham, MA",1001 to 5000 Employees,1933,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",$10+ billion (USD),0,0,93,138,115.5,Waltham,87,0,0,1,0,0,data scientist,na,178
43,"Data Scientist IV - Databricks, SQL, Python, ETL",$150K - $194K (Employer est.),"Collaborates with internal and external stakeholders across domains to develop and deliver statistical driven outcomes by delivering insights and values from……
Skills: Microsoft Excel, Data mining, Data analysis skills, SQL, Statistical analysis",3.9,Kaiser Permanente,"Pasadena, CA",10000+ Employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,0,150,194,172.0,Pasadena,75,0,0,0,0,1,data scientist,na,245
44,Data Scientist,$84K - $143K (Employer est.),"Experience with CRM systems like SAP CRM, ServiceNow, and ServiceMax, as well as technical platforms like ABAP, BTP, SAP PI/PO, and BI tools is required.…
Skills: CRM software, Management, SAP CRM, Enterprise software, R",4.1,KLA,"Ann Arbor, MI",5001 to 10000 Employees,1976,Company - Public,Machinery Manufacturing,Manufacturing,$1 to $5 billion (USD),0,0,84,143,113.5,Ann Arbor,44,0,0,0,0,0,data scientist,na,220
45,NGSE Data Scientist,$113K - $153K (Glassdoor est.),"This role interfaces across the organization to answer challenging analytical questions and highlight insights to customers such as revenue generation ideas,……
Skills: Statistics, Computer science, Azure, Data mining, Data structures",4.0,Zoetis,"Parsippany, NJ",10000+ Employees,2013,Company - Public,Biotech & Pharmaceuticals,Pharmaceutical & Biotechnology,$5 to $10 billion (USD),0,0,113,153,133.0,Parsippany,7,0,0,0,0,0,data scientist,na,233
46,Data Scientist I,$82K - $106K (Glassdoor est.),"Cash Forecasting: (1) Quickly develop cash consumer demand and supply operations business expertise; (2) Identify, collect, and process the requisite data; (3)……
Skills: ArcGIS, Microsoft Excel, Azure, Data mining, Relational databases",3.5,NCR Atleos,"Frisco, TX",10000+ Employees,1884,Company - Public,Enterprise Software & Network Solutions,Information Technology,$5 to $10 billion (USD),0,0,82,106,94.0,Frisco,136,0,0,0,0,1,data scientist,na,235
47,Data Scientist,$69K - $111K (Glassdoor est.),"Three (3) years post-university experience in advanced analytics in the field of data science, applying scientific data analytics methods preferably to……
Skills: TensorFlow, Computer science, Oracle, Data mining, SAP HANA",3.9,"SWJ TECHNOLOGY, LLC","Greer, SC",Unknown,--,Company - Public,Business Consulting,Management & Consulting,Unknown / Non-Applicable,0,0,69,111,90.0,Greer,-1,0,0,0,0,0,data scientist,na,221
48,Sr Data Scientist,$120K - $156K (Glassdoor est.),"Staying ahead of the latest advancements in data science techniques, tools, and technologies and applying them to solve complex problems optimally.…
Skills: Jira, TensorFlow, CI/CD, Computer science, Management",3.8,Disney,"Lake Buena Vista, FL",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),0,0,120,156,138.0,Lake Buena Vista,97,0,0,0,0,0,data scientist,senior,210
49,Data Scientist,$83K - $116K (Glassdoor est.),"Collaborates with cross-functional teams of product and process experts, clinical and non-clinical leaders, and C-Suite leaders to develop data science……
Skills: R, SQL, Statistical analysis, Analysis skills, Database management",3.4,Regional One Health,"Memphis, TN",1001 to 5000 Employees,1892,Hospital,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,0,83,116,99.5,Memphis,128,0,0,0,0,0,data scientist,na,228
50,Data Scientist (Lending Analytics),$108K - $148K (Glassdoor est.),"Design, develop, and evaluate basic/routine predictive models and algorithms with some complexity. Work under close supervision with some latitude for problem……
Skills: Statistics, Data modeling, SAS, R, Data analysis skills",4.1,Navy Federal Credit Union,"Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,108,148,128.0,Vienna,87,0,0,0,0,0,data scientist,na,224
51,Data Scientist,$96K - $144K (Employer est.),"Tracks and reports own progress, dependencies, and challenges diligently. Designs small-scale solutions and collaborates effectively with other technical……
Skills: CI/CD, Power BI, Microsoft Excel, Data mining, Business intelligence",3.9,Western Governors University,Remote,5001 to 10000 Employees,1997,College / University,Colleges & Universities,Education,$500 million to $1 billion (USD),0,0,96,144,120.0,Remote,23,0,0,0,0,1,data scientist,na,232
52,Data Scientist,$110K - $140K (Employer est.),"Directly support the Product team through steering data science initiatives and driving decisions to empower market leading solutions. UI/UX experience a plus.…
Skills: Power BI, SQL, Machine learning, UX, UI",3.6,BrandSafway,United States,10000+ Employees,2017,Company - Private,Construction,"Construction, Repair & Maintenance Services",$5 to $10 billion (USD),0,0,110,140,125.0,United States,3,0,0,0,0,0,data scientist,na,208
53,Sr. Data Scientist/Analytics,$97K - $142K (Glassdoor est.),"The Sr. Data Scientist/Analytics is responsible for formulating and conducting appropriate and applicable analysis; and is responsible for identifying and……
Skills: Data mining, Big data, Analysis skills, Machine learning, Predictive analytics",4.1,Drury Hotels,"Saint Louis, MO",5001 to 10000 Employees,1973,Company - Private,Hotels & Resorts,Hotels & Travel Accommodation,$500 million to $1 billion (USD),0,0,97,142,119.5,Saint Louis,47,0,0,0,0,0,data scientist,senior,243
54,Actuarial Data Scientist,$90K - $130K (Employer est.),"Present analysis and/or provide technical and non-technical information and explanation to peers, senior staff, and other departments as needed, as well as……
Skills: Microsoft Powerpoint, Workers' compensation law, Power BI, Microsoft Excel, R",3.4,Employers,Remote,501 to 1000 Employees,1913,Company - Public,Insurance Carriers,Insurance,$500 million to $1 billion (USD),0,0,90,130,110.0,Remote,107,0,0,0,0,1,data scientist,na,243
55,Data Scientist,$108K - $192K (Employer est.),"Knowledge of relevant tools in this field such as Hadoop, Hive, Splunk, Spark, Tableau, Excel (Charting and Pivot-Tables), and Power BI.…
Skills: Statistics, Adobe Photoshop, Power BI, Microsoft Excel, Adobe Lightroom",4.2,Adobe,"Seattle, WA",10000+ Employees,1982,Company - Public,Computer Hardware Development,Information Technology,$10+ billion (USD),0,0,108,192,150.0,Seattle,38,0,0,1,0,1,data scientist,na,217
56,Data Scientist,$44.00 - $66.00 Per Hour (Employer est.),"Technical Skills: Proficiency in programming languages such as Python or R; experience with data manipulation and analysis tools (SQL, Pandas, NumPy); expertise……
Skills: TensorFlow, Computer science, Power BI, Azure, Big data",3.8,Arrowhead Central Credit Union,"Rancho Cucamonga, CA",501 to 1000 Employees,1949,Nonprofit Organization,Investment & Asset Management,Financial Services,$25 to $100 million (USD),1,0,88,132,55.0,Rancho Cucamonga,71,1,0,0,0,0,data scientist,na,226
57,Data Scientist,$89K - $129K (Glassdoor est.),"Proven ability to succeed in collaborative environments with cross-functional stakeholders and also in independent work environments.…
Skills: Power BI, Oracle, Business intelligence, Data analysis skills, Tableau",4.1,Southern Company,"Atlanta, GA",10000+ Employees,1945,Company - Public,Energy & Utilities,"Energy, Mining & Utilities",Unknown / Non-Applicable,0,0,89,129,109.0,Atlanta,75,0,0,0,0,0,data scientist,na,213
58,Data Scientist 2,$97K - $131K (Employer est.),"Candidates must live in the immediate area or relocate at their own expense. Connect systems and large data sets across business units and functions to develop……
Skills: SQL, Statistical analysis, Analysis skills, Data analytics",3.8,BOEING,"Dallas, TX",10000+ Employees,1916,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),0,0,97,131,114.0,Dallas,104,0,0,0,0,0,data scientist,na,228
59,Cybersecurity Data Scientist,$84K - $119K (Employer est.),"As a Cybersecurity Data Scientist, you will develop, maintain, and implement comprehensive information security monitoring programs in large and complex……
Skills: Oracle, SAS, NoSQL, Information security, SQL",4.2,Empower,Colorado,10000+ Employees,1907,Company - Private,Investment & Asset Management,Financial Services,$1 to $5 billion (USD),0,0,84,119,101.5,Colorado,113,0,0,0,0,0,data scientist,na,208
60,Statistician Intermediate,$58K - $91K (Glassdoor est.),"? Contributing intellectually to the design, programming, analysis, reporting, and dissemination of research projects, potentially as a co-author of abstracts……
Skills: ArcGIS, Microsoft Excel, Management, Biostatistics, SAS",4.3,University of Michigan,"Ann Arbor, MI",10000+ Employees,1817,College / University,Colleges & Universities,Education,$5 to $10 billion (USD),0,0,58,91,74.5,Ann Arbor,203,0,0,0,0,1,na,na,224
61,Data Scientist,$97K - $220K (Employer est.),"4+ years of experience in ML, data science, computer science, or computational engineering. 2+ years of experience researching and developing operational……
Skills: Statistics, Kubernetes, Software deployment, R, Java",4.2,Booz Allen,"McLean, VA",10000+ Employees,1914,Company - Public,Business Consulting,Management & Consulting,$5 to $10 billion (USD),0,0,97,220,158.5,McLean,106,0,0,0,0,0,data scientist,na,216
62,Order To Cash Data Scientist,$85K (Employer est.),"Develop predictive models to forecast cash collections, customer payment behaviors, and bad debt risks. Experience with data visualization tools like Alteryx……
Skills: TensorFlow, Statistical software, Power BI, R, Alteryx",3.2,Hertz,"Oklahoma City, OK",10000+ Employees,1918,Company - Public,Car & Truck Rental,Transportation & Logistics,$5 to $10 billion (USD),0,0,85,85,85.0,Oklahoma City,102,0,0,0,0,0,data scientist,na,222
63,Data Scientist II,$69K - $115K (Employer est.),"Be able to communicate technical concepts to non-technical stakeholders. Within our Financial Services vertical, we provide customers with solutions and……
Skills: Computer science, R, Data analysis skills, Statistical analysis, Machine learning",2.1,Risk Solutions,"Minneapolis, MN",1 to 50 Employees,2001,Company - Private,Business Consulting,Management & Consulting,Unknown / Non-Applicable,0,0,69,115,92.0,Minneapolis,19,0,0,0,0,0,data scientist,na,244
