Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,hourly,employer_provided,min_salary,max_salary,avg_salary,job_state,python_yn,R_yn,spark,aws,excel
"Applied Science Manager, Applied AI - Data Cycling Center",$20K - $395K (Employer est.),"Oversee all data science projects, provide technical leadership in ideation and execution, identify potential business risks, and align on the deliverables.…
Skills: TensorFlow, Software deployment, Machine learning, Natural language processing, Scope management",3.3,TikTok,"San Jose, CA",10000+ Employees,0,0,20,395,207.5,San Jose,0,0,0,0,0
Senior Data Scientist,$185K - $235K (Employer est.),"BS/MS in Data Science or a related quantitative or scientific field. Cross-functional Collaboration: Collaborate with technical teams, product managers, and……
Skills: Statistics, SQL, Machine learning, NIST standards, Data science",3.0,ID.me,"McLean, VA",501 to 1000 Employees,0,0,185,235,210.0,McLean,0,0,0,0,0
Senior Machine Learning Scientist (Discovery),$134K - $200K (Employer est.),"Passion for driving impact in the field of online education through innovative ML and search science techniques.…
Skills: TensorFlow, Git, Machine learning, Deep learning, Natural language processing",3.6,Coursera,United States,501 to 1000 Employees,0,0,134,200,167.0,United States,0,0,0,0,0
Principal Data Scientist,$200K - $240K (Employer est.),"You will play a critical role in developing and implementing data-driven strategies, optimizing statistical methods, and driving innovation within the company.…
Skills: Big data, Data analysis skills, Google Cloud Platform, SQL, AWS",2.8,VideoAmp Careers Website,Remote,201 to 500 Employees,0,0,200,240,220.0,Remote,0,0,0,1,0
Senior Data Scientist (Forecasting and ML Ops),$102K - $200K (Employer est.),"Deep understanding of and experience with ML models and ML engineering, advanced statistics, time series forecasting, best practice application of data science……
Skills: CI/CD, Azure, Data mining, Big data, DevOps",3.7,The Clorox Company,"Pleasanton, CA",5001 to 10000 Employees,0,0,102,200,151.0,Pleasanton,0,0,0,0,0
"Data Science Director, Instagram Sharing",$314K - $361K (Employer est.),"The Director of Data Science is directly responsible for managing the data science team to ensure proper goaling, experimentation, and forecasting and to……
Skills: Data mining, Machine learning, Quantitative analysis, Analytics",4.0,Instagram,"Menlo Park, CA",10000+ Employees,0,0,314,361,337.5,Menlo Park,0,0,0,0,0
"Applied Scientist, Sponsored Products",$136K - $222K (Employer est.),"Perform hands-on analysis and modeling of enormous data sets to develop insights that increase traffic monetization and merchandise sales, without compromising……
Skills: Data mining, Sales, Data structures, Java, C++",3.7,Amazon.com Services LLC,"Arlington, VA",10000+ Employees,0,0,136,222,179.0,Arlington,0,0,0,0,0
Research Data Scientist,$60K (Employer est.),"The successful candidate will play a crucial role in driving our research efforts in the fields of artificial intelligence (AI), machine learning, computational……
Skills: MATLAB, R, Research, Databases, Machine learning",3.6,TERASAKI INSITUTE FOR BIOMEDICAL INNOVATION,"Woodland Hills, CA",Unknown,0,0,60,60,60.0,Woodland Hills,0,0,0,0,0
Senior Data Scientist - Trust and Safety,$123K - $218K (Employer est.),"If access to export-controlled technology or source code is required for performance of job duties, it is within Employer's discretion whether to apply for a U……
Skills: Spark, SQL, Machine learning, Data science, SaaS",4.3,Databricks,"Mountain View, CA",1001 to 5000 Employees,0,0,123,218,170.5,Mountain View,0,0,1,0,0
"Applied Scientist, SSG Science",$129K - $213K (Employer est.),"Master's degree in computer science, mathematics, statistics, machine learning or equivalent quantitative field.…
Skills: Computer science, Java, C++, Machine learning, AI",3.7,Amazon.com Services LLC,"Sunnyvale, CA",10000+ Employees,0,0,129,213,171.0,Sunnyvale,0,0,0,0,0
Data Scientist,$72K - $129K (Glassdoor est.),"Bachelor's degree in computer science, analytics, mathematics, or related technical field. Strong familiarity with data science applications such as association……
Skills: TensorFlow, Spark, R, Tableau, Analysis skills",4.8,"Visionist, Inc.","Fort Meade, MD",51 to 200 Employees,0,0,72,129,100.5,Fort Meade,0,0,1,0,0
